ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,mae_obs_train,nmae_obs_train,negLL_obs_val,negLL_obs_trainval,mae_obs_val,mae_obs_trainval,nmae_obs_val,nmae_obs_trainval,negLL_obs_test,mae_obs_test,nmae_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
124,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.002603779146214028,0.0019474678246226224,500,3000,2,500,7,1.6829416672388713,0.0443591833114624,20.40848431532036,25.630734827193155,NaN,NaN,0.008932868428516195,0.007008370572482593,0.00860327392560782,NaN,NaN,75.01302762091466,3.230594955788079,0.06625801691809197,18.043382199746812,93.05640982066146,3.680021046338975,3.3148623477663723,0.06183664728145339,0.06558131401677894,NaN,NaN,NaN,3.8376361025742893,6.565856471120934,3.165015885477001
125,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.0,0.004544100430314785,500,3000,1,500,2,1.6197231849034628,0.017248515288035074,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
126,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.0,0.00017049808376994277,500,3000,14,500,2,3.7051490505536395,0.05370628039042155,20.26224632804204,25.021230432262332,NaN,NaN,0.008832616356687945,0.006751695959742425,0.008470734907905288,NaN,NaN,75.10681968270183,3.226229840253803,0.06621344806103345,17.97208479148913,93.07890447419096,3.5660888035620437,3.289953395874099,0.059356580507676907,0.06507092382797681,NaN,NaN,NaN,3.8353252953662835,6.561651118901743,3.166699386983212
127,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.9399109685788449,0.0006372380849110537,500,3000,3,500,2,1.5924540519714356,0.016575400034586588,20.524954528290703,25.42915982151738,NaN,NaN,0.008962922010817841,0.00697835619910834,0.008615024213310084,NaN,NaN,75.07540571017462,3.2103043526506148,0.06572277544883598,17.98517086842447,93.0605765785991,3.6666177369988677,3.2958631122159123,0.061791156990801385,0.06512330709901483,NaN,NaN,NaN,3.842811813563409,6.603188122293486,3.1607341166860476
128,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.012945141246063302,0.00022699839674546147,500,3000,24,500,25,3.0869401812553408,7.2366902510325115,20.249444516654346,23.922785805094247,NaN,NaN,0.008325244238298694,0.006307001818752967,0.007962557713814222,NaN,NaN,76.01484838075996,3.2617663447957486,0.06501856635448432,17.806783700314146,93.82163208107411,3.3155342345454035,3.2718478241238085,0.05475097252666809,0.0631057727582743,NaN,NaN,NaN,3.811917809342965,6.52178892977326,3.185848424529039
129,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.9913481585636423,0.0013291665444568094,500,3000,523,500,24,1.5612601478894552,0.11159824927647909,661.2058460326124,312.73027285011096,NaN,NaN,0.1085857719184143,0.056537863435712515,0.09801879186041751,NaN,NaN,172.01071450052223,15.705929717443347,0.2171186409378614,39.328821533032205,211.33953603355445,13.338913860325821,15.262114244233809,0.18331025906229115,0.2105207989875744,NaN,NaN,NaN,115.98330675152187,20.00169494741557,94.72650593991838
130,boehm_export_augmented,-,16,3,5,tanh,0,preopt,1,l2,0.0017273308676702876,0.0039667442613474605,500,3000,2,500,2,1.6560516675313315,0.01936576763788859,20.605674549150176,25.048817829713627,NaN,NaN,0.009079624625473107,0.006626106515190087,0.008666631627050315,NaN,NaN,76.63786584826084,3.310696965231933,0.068478799893941,18.096705796341453,94.7345716446023,3.5877394675661316,3.3626424344195947,0.059563731935381975,0.0670115357526757,NaN,NaN,NaN,3.8221694925319456,6.5393951693191905,3.177823366186075
131,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.001407614135772467,0.006407468398073612,500,3000,1,500,22,31.648828514417012,25.495915333429974,21.850841848645967,26.603691003839515,NaN,NaN,0.009680160855362715,0.007557444342996897,0.009294205157287882,NaN,NaN,76.0259225042275,3.418574432688265,0.07060360945159774,18.09801000767404,94.12393251190153,3.866479623846732,3.502556656030478,0.0665796053083804,0.06994746541315112,NaN,NaN,NaN,3.8526119784444797,6.591478186731934,3.1527127564830226
132,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.009328421525188646,0.00225402532579001,500,3000,46,500,5,0.5960032304128011,11.627087632815043,23.17485682242969,24.820213665793236,NaN,NaN,0.010177349925812797,0.0072123682670356916,0.009605857144999739,NaN,NaN,78.00241509703943,3.5890806039924965,0.0743261386843254,17.653606744532116,95.65602184157154,3.9009265133412208,3.647551711995383,0.06715666352287158,0.07308722926214943,NaN,NaN,NaN,3.9211627845303347,6.418122899757903,3.0975958151332663
133,boehm_export_augmented,-,16,3,5,tanh,1,preopt,1,l2,0.0012250372213150839,0.00371777578196473,500,3000,2,500,28,2.3867817838986713,8.76815220117569,20.5805620847426,25.012719018770376,NaN,NaN,0.009050486971394883,0.006599551198838839,0.008638564379098195,NaN,NaN,76.69667615074404,3.3031084772349026,0.0682911539061683,18.09309707202502,94.78977322276906,3.57653385774858,3.354375736081218,0.05934684663260174,0.06681820772566366,NaN,NaN,NaN,3.824073087979255,6.542651966898773,3.1762414597416706
