ude_nr,problem_name,noise_level,sparsity,hidden_layers,hidden_neurons,act_fct,nn_input_normalization,startpoint_method,startpoint_id,reg,λ_reg,lr_adam,max_epochs_adam,max_epochs_bfgs,epoch_optimum,epochs_ADAM,epochs_BFGS,runtime_ADAM_in_min,runtime_BFGS_in_min,mse_obs_train,mse_obs_val,mse_obs_test,mse_hidden_test,nmse_obs_train,nmse_obs_val,nmse_obs_trainval,nmse_obs_test,nmse_hidden_test,negLL_obs_train,negLL_obs_val,negLL_obs_trainval,negLL_obs_test,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel
22,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,22,l2,0.23918207197537347,0.00023457862225105075,500,3000,520.0,500.0,30.0,3.5451822161674498,0.17126818497975668,2998.246440737173,3177.0207677323383,NaN,NaN,4.271882072005532e26,4.162071756365486e24,5.513360666822248e25,NaN,NaN,164.25431509647635,37.39377273602446,201.64808783250083,NaN,75.76573645574307,56.91388991904503,15.744551105450832
23,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,23,l2,0.0025114049976004676,0.0005138873402617989,500,3000,583.0,500.0,85.0,1.4187846501668295,0.24686458508173625,2923.2467033874705,3130.992469198941,NaN,NaN,2.574491295777743e15,1.5403044157077085e15,2.2964544778738925e15,NaN,NaN,151.35798674068218,34.21429449640028,185.57228123708248,NaN,77.86492920733957,57.70350243783498,6.188089534546569
24,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,24,l2,0.007014625738830762,0.0001432209085119489,500,3000,527.0,500.0,27.0,0.2984859824180603,0.04718449910481771,2923.1547379624317,3138.978276876535,NaN,NaN,8.975105902508137e15,6.894805269755781e15,8.50089442666388e15,NaN,NaN,151.29736486514062,35.20247294529041,186.49983781043102,NaN,69.63961526856858,56.63147290578306,5.946478271486577
25,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,25,l2,0.010532533697749322,0.0017271130614026468,500,3000,500.0,500.0,2.0,2.6953144510587057,0.053229097525278726,2965.0497311747276,3176.8299012493326,NaN,NaN,7.004629894139754e12,5.501490295663054e12,6.68006104873746e12,NaN,NaN,186.2144067618721,42.881082752130126,229.09548951400225,NaN,514.0336204038449,140.74624119572286,12.858478830684659
26,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,26,l2,0.14042076143725565,0.00034689219427505824,500,3000,532.0,500.0,32.0,1.9074188828468324,0.15695586601893108,24.693688425319277,54.7529449644653,NaN,NaN,0.010419707600111777,0.016666690990655077,0.011963193926352741,NaN,NaN,83.28277210020083,23.242475800795987,106.52524790099682,NaN,4.450221501200526,6.137332557310677,6.3143076523048185
27,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,27,l2,0.10974017115804723,0.0012265972074727023,500,3000,531.0,500.0,35.0,0.2908559838930766,0.050614118576049805,2929.3231643506965,3138.967998413054,NaN,NaN,2.763275738726119e9,6.272862703672508e8,1.8848480920265732e9,NaN,NaN,154.2189310174273,35.30734737231075,189.52627838973805,NaN,81.39841095147968,54.52597925201457,7.7210540727469095
28,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,28,l2,0.006745197571119784,0.0036513054807644275,500,3000,509.0,500.0,11.0,4.012789666652679,0.08390726645787557,3027.9019162387754,3172.004025090523,NaN,NaN,1.644539746846511e12,1.458944472791802e12,1.6023516948620793e12,NaN,NaN,166.15464373982422,37.555425773391434,203.71006951321561,NaN,73.89700053625987,56.17876150438338,18.39134962329591
29,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,29,l2,0.0,0.0035729151653262747,500,3000,500.0,500.0,4.0,1.521531049410502,0.01300578514734904,2928.4982886360967,3107.2390111189734,NaN,NaN,6280.109072662356,4547.1997931015,5863.169803614652,NaN,NaN,163.4096592244106,37.37227795264538,200.78193717705597,NaN,74.32007441124048,61.869951524158196,14.991302273927989
30,boehm_papa_export_kinetic,-,16,3,5,tanh,0,lhs,30,l2,0.5785771742540701,0.003786463725389854,500,3000,518.0,500.0,23.0,0.8607927362124125,0.059740734100341794,2951.165535539298,3158.2606086295345,NaN,NaN,1.3494753715911735e22,3.246869991360605e22,1.5355747612222965e22,NaN,NaN,159.1673236610951,36.584654217677866,195.75197787877298,NaN,75.23871314425965,58.2012693785045,10.927227030131137
31,boehm_papa_export_kinetic,-,16,3,5,tanh,1,lhs,31,l2,0.0,0.00022817279266127517,500,3000,516.0,500.0,18.0,4.203638315200806,0.12159058252970377,2990.7404173712494,3192.3998364184204,NaN,NaN,9.165094060075312e16,5.53666221215009e16,8.243757843763394e16,NaN,NaN,163.64664781077488,37.67188699175987,201.3185348025347,NaN,73.62066279773171,57.54224818012684,15.43368064543347
